,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
2708,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Clear,Clear,PC,PC,Weak,Strong,Westerly,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jun15_Jul1,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,LIGt0,Neutral,LessUnstable,LessUnstable,D,None,Moderate,Moderate,D,XNIL,XNIL,XNIL,LowEvrywhere,Steep,Average,ModerateOrLe,OtherRapid,Other,MovingFtorOt,NegToPos,QStationary,NWQuad,Westerly,WidespdDnsl
2709,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,Wet,Cloudy,Cloudy,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,May15_Jun14,I,CThruK,PartInhibit,LessThanAve,LessThanAve,ABI,LIGt0,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Moderate,I,SIG,SIG,SIG,HighEvrywher,Steep,Average,Steep,NoMajor,DryMMoistL,E_W_N,PosToNeg,QStationary,SWQuad,LVorOther,DenvCyclone
2710,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,Wet,PC,PC,PC,PC,None,None,Westerly,None,Weak,Weak,None,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,May15_Jun14,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,None,Moderate,Strong,E,XNIL,XNIL,XNIL,LowNHighS,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,SigPositive,None,AllElse,Westerly,WidespdDnsl
2711,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Neutral,Cloudy,Clear,PC,PC,Strong,Strong,StrongWest,Weak,Weak,None,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jul16_Aug10,J,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,Average,GJ,PartInhibit,Weak,None,J,SIG,SIG,SIG,LowAtStation,Steep,Dry,Steep,NoMajor,MoistMDryL,None,LittleChange,None,LV,LVorOther,LV
2712,StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Neutral,VeryWet,VeryWet,PC,Clear,PC,PC,Weak,Strong,Other,Weak,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Jul2_Jul15,B,AB,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Neutral,Average,MoreUnstable,B,None,Moderate,Slight,B,SVR,SVR,SVR,LowNHighS,ModerateOrLe,VeryMoist,Steep,OtherRapid,DryMMoistL,DenvCyclone,LittleChange,Other,SWQuad,Westerly,E_NE
2713,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Wet,Wet,PC,PC,PC,PC,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jul16_Aug10,B,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,B,PartInhibit,Moderate,Slight,B,XNIL,XNIL,SIG,Other,ModerateOrLe,VeryMoist,Steep,NoMajor,DryMMoistL,DenvCyclone,NegToPos,Other,SWQuad,Westerly,DenvCyclone
2714,WeakUp,StronUp,StrongUp,StrongUp,StrongUp,Wet,Wet,Wet,VeryWet,Clear,Clear,Clear,Cloudy,Strong,Strong,Other,Weak,None,None,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jul2_Jul15,K,CThruK,None,LessThanAve,MoreThanAve,K,N1GtLIGt_4,Neutral,Average,Average,ACEFK,PartInhibit,Weak,Moderate,K,SIG,SIG,SIG,LowSHighN,ModerateOrLe,Average,ModerateOrLe,StrongFront,DryMMoistL,MovingFtorOt,PosToNeg,None,AllElse,Westerly,WidespdDnsl
2715,Neutral,WeakUp,Neutral,Neutral,Neutral,Wet,Dry,Wet,Wet,PC,Cloudy,PC,PC,Weak,Weak,Westerly,None,Weak,Strong,Marked,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Aug20_Sep15,B,AB,Stifling,LessThanAve,Average,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,None,Moderate,Strong,B,SVR,SVR,SVR,LowSHighN,CloseToDryAd,VeryMoist,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,PosToNeg,None,AllElse,LVorOther,DenvCyclone
2716,Neutral,Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,PC,PC,PC,Clear,None,Weak,StrongWest,None,Weak,Weak,Some,LittleChange,LittleChange,Negative,Increasing,SIG,May15_Jun14,K,CThruK,PartInhibit,Average,MoreThanAve,K,LIGt0,Instability,Average,MoreUnstable,ACEFK,PartInhibit,Moderate,Slight,K,SIG,SIG,SIG,LowAtStation,Steep,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_N,NegToPos,Other,NWQuad,LVorOther,WidespdDnsl
2717,Down,WeakUp,WeakUp,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,Clear,PC,PC,PC,None,None,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Aug20_Sep15,D,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,LIGt0,Neutral,LessUnstable,Average,D,Stifling,Unfavorable,None,D,XNIL,XNIL,XNIL,Other,Steep,Average,Steep,OtherRapid,MoistMDryL,None,NegToPos,Other,NWQuad,Westerly,LV
2718,StrongUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,Strong,Westerly,Strong,None,Weak,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,May15_Jun14,B,AB,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,B,None,Moderate,Moderate,B,SVR,SVR,SVR,HighEvrywher,CloseToDryAd,Dry,ModerateOrLe,OtherRapid,DryMMoistL,DenvCyclone,PosToNeg,Moving,SWQuad,LVorOther,SEQuad
2719,Neutral,StronUp,Neutral,WeakUp,WeakUp,Neutral,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,Strong,Strong,Marked,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug11_Aug20,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,GJ,PartInhibit,Unfavorable,None,J,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Dry,Steep,NoMajor,DryMMoistL,None,LittleChange,None,LV,LVorOther,DenvCyclone
2720,Neutral,WeakUp,Down,Down,Down,Neutral,Neutral,Neutral,Dry,PC,PC,Cloudy,PC,Weak,Strong,StrongWest,Strong,None,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SVR,May15_Jun14,I,CThruK,PartInhibit,LessThanAve,LessThanAve,ABI,LIGt0,Neutral,LessUnstable,LessUnstable,HI,PartInhibit,Weak,None,I,XNIL,XNIL,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,NoMajor,DryMMoistL,E_W_S,SigNegative,Moving,SWQuad,LVorOther,DenvCyclone
2721,WeakUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,VeryWet,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,None,Moderate,Moderate,J,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,Dry,CloseToDryAd,NoMajor,Other,DryLine,LittleChange,Moving,LV,LVorOther,SEQuad
2722,StrongUp,Down,Down,Neutral,Neutral,Wet,Wet,Wet,Wet,PC,PC,PC,PC,Weak,Strong,DCVZFavor,Weak,Strong,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,SVR,May15_Jun14,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,None,Moderate,Strong,I,SVR,SVR,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,NoMajor,DryMMoistL,E_W_S,LittleChange,QStationary,NWQuad,Westerly,DenvCyclone
2723,Down,Down,Down,Down,Down,Neutral,Neutral,Neutral,Dry,Clear,PC,Clear,Clear,Strong,Strong,Westerly,Weak,None,None,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Jul16_Aug10,D,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,None,Strong,Strong,D,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,VeryMoist,CloseToDryAd,OtherRapid,DryMMoistL,DryLine,LittleChange,Other,NWQuad,LVorOther,DenvCyclone
2724,Down,StronUp,StrongUp,StrongUp,StrongUp,Wet,Dry,Wet,Wet,PC,Cloudy,PC,Cloudy,None,None,Other,None,Weak,Strong,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,May15_Jun14,E,CThruK,Stifling,Average,Average,CDEJ,LIGt0,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Strong,Strong,E,XNIL,SIG,SIG,HighEvrywher,Steep,Average,ModerateOrLe,StrongFront,MoistMDryL,DryLine,SigNegative,Moving,AllElse,Westerly,DenvCyclone
2725,Neutral,Down,Neutral,Down,Down,Wet,Wet,Wet,Neutral,PC,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,WeakPos,LittleChange,SVR,May15_Jun14,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Strong,Slight,C,XNIL,SIG,SVR,LowNHighS,Steep,Dry,Steep,NoMajor,Other,E_W_N,LittleChange,Moving,NWQuad,Westerly,LongAnticyc
2726,StrongUp,WeakUp,WeakUp,WeakUp,WeakUp,Dry,Wet,Neutral,Wet,PC,PC,PC,Clear,None,Strong,DCVZFavor,None,Weak,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,SIG,Jun15_Jul1,C,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Moderate,C,SVR,SVR,SVR,LowAtStation,ModerateOrLe,Dry,CloseToDryAd,MarkedUpper,Other,E_W_S,NegToPos,None,NWQuad,Westerly,LongAnticyc
2727,Down,StronUp,StrongUp,WeakUp,WeakUp,VeryWet,Dry,Wet,Wet,PC,PC,PC,Cloudy,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,N5GtLIGt_8,Neutral,Average,Average,GJ,None,Weak,Moderate,G,SIG,SVR,SVR,LowNHighS,CloseToDryAd,Dry,Steep,MarkedUpper,MoistMDryL,DryLine,LittleChange,None,LV,Westerly,DenvCyclone
2728,Neutral,Neutral,Down,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,PC,PC,PC,PC,Weak,Strong,StrongWest,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Aug11_Aug20,C,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,ACEFK,None,Moderate,Moderate,C,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Average,CloseToDryAd,NoMajor,MoistMDryL,E_W_N,SigPositive,None,NWQuad,LVorOther,LongAnticyc
2729,Down,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,Wet,PC,PC,PC,PC,None,Weak,DCVZFavor,Strong,None,Strong,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,D,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,D,PartInhibit,Weak,Moderate,D,SIG,SVR,SVR,LowMtsHighPl,ModerateOrLe,Dry,CloseToDryAd,OtherRapid,Other,DryLine,SigNegative,None,SWQuad,Westerly,LongAnticyc
2730,StrongUp,Neutral,Down,Neutral,Neutral,Wet,Neutral,Neutral,Dry,Clear,Clear,Clear,Clear,None,None,StrongWest,None,None,Weak,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,D,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,Average,LessUnstable,D,Stifling,Moderate,Slight,D,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,Steep,StrongFront,MoistMDryL,DryLine,PosToNeg,Moving,NWQuad,LVorOther,SEQuad
2731,Down,StronUp,Neutral,Neutral,Neutral,Dry,Neutral,Dry,Dry,Cloudy,PC,Cloudy,PC,None,None,StrongWest,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,LessThanAve,Average,K,LILt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,None,K,XNIL,XNIL,XNIL,LowNHighS,Steep,Average,ModerateOrLe,StrongFront,Other,E_W_N,SigNegative,QStationary,AllElse,Westerly,WidespdDnsl
2732,StrongUp,Down,StrongUp,WeakUp,WeakUp,Dry,Wet,VeryWet,VeryWet,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Strong,None,Strong,Marked,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,May15_Jun14,E,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,Average,ACEFK,None,Weak,None,E,XNIL,XNIL,XNIL,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,OtherRapid,MoistMDryL,DryLine,LittleChange,None,SWQuad,Westerly,LongAnticyc
2733,Neutral,Neutral,StrongUp,StrongUp,StrongUp,Wet,Dry,Neutral,VeryWet,Clear,PC,PC,Cloudy,None,None,DCVZFavor,None,Weak,None,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug11_Aug20,B,AB,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,B,None,Moderate,Slight,B,SIG,SIG,SIG,Other,Steep,VeryMoist,Steep,MarkedUpper,DryMMoistL,E_W_S,PosToNeg,QStationary,NWQuad,LVorOther,LV
2734,Neutral,StronUp,Neutral,StrongUp,StrongUp,Neutral,Neutral,Neutral,Wet,Clear,Clear,Clear,Clear,Weak,Strong,Westerly,Strong,None,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,May15_Jun14,H,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,H,N1GtLIGt_4,Instability,Average,MoreUnstable,HI,None,Moderate,Strong,H,XNIL,XNIL,SIG,LowMtsHighPl,Stable,Average,Steep,NoMajor,Other,MovingFtorOt,PosToNeg,Moving,NWQuad,LVorOther,DenvCyclone
2735,WeakUp,Neutral,Down,Down,Down,Neutral,Neutral,Dry,Dry,PC,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Weak,Weak,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,May15_Jun14,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,LILt_8,Stability,Average,LessUnstable,ACEFK,None,Strong,Strong,E,SIG,XNIL,SIG,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,NoMajor,MoistMDryL,None,LittleChange,None,NWQuad,LVorOther,LV
2736,WeakUp,StronUp,WeakUp,StrongUp,StrongUp,Neutral,Neutral,Wet,VeryWet,Clear,PC,PC,Cloudy,Weak,Strong,StrongWest,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul2_Jul15,J,CThruK,PartInhibit,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,MoreUnstable,GJ,PartInhibit,Strong,Strong,J,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,None,LV,LVorOther,SEQuad
2737,Down,WeakUp,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Neutral,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,LittleChange,LittleChange,Neutral,Decreasing,SIG,May15_Jun14,J,CThruK,None,LessThanAve,LessThanAve,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,GJ,None,Strong,Strong,J,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Average,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,None,LV,LVorOther,LV
2738,WeakUp,Down,WeakUp,Neutral,Neutral,Neutral,Wet,VeryWet,VeryWet,PC,PC,Cloudy,Cloudy,None,None,DCVZFavor,None,None,None,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,Aug20_Sep15,G,CThruK,None,Average,Average,G,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,None,Unfavorable,None,G,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,Other,LittleChange,Other,NWQuad,LVorOther,LV
2739,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Dry,Dry,VeryWet,VeryWet,Clear,PC,Clear,PC,Weak,Weak,StrongWest,Strong,None,Strong,Some,LittleChange,LittleChange,StrongPos,Increasing,XNIL,May15_Jun14,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,None,J,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,Steep,NoMajor,MoistMDryL,None,LittleChange,Other,LV,LVorOther,SEQuad
2740,Down,Down,Down,Down,Down,Dry,Wet,Wet,Wet,Clear,Clear,Clear,Clear,None,None,Westerly,None,Weak,None,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Aug11_Aug20,B,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,Average,B,None,Weak,Slight,B,XNIL,XNIL,XNIL,LowMtsHighPl,CloseToDryAd,VeryMoist,CloseToDryAd,OtherRapid,Other,E_W_S,SigNegative,None,AllElse,LVorOther,LV
2741,Down,StronUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,Clear,Cloudy,Cloudy,Weak,Strong,Other,None,None,None,None,LittleChange,LittleChange,WeakPos,LittleChange,SIG,May15_Jun14,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,None,Weak,Slight,C,XNIL,XNIL,SIG,LowEvrywhere,Steep,Average,ModerateOrLe,MarkedUpper,Other,E_W_N,LittleChange,Moving,NWQuad,Westerly,LongAnticyc
2742,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,VeryWet,VeryWet,VeryWet,PC,PC,PC,Cloudy,None,None,DCVZFavor,None,Weak,Weak,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Unfavorable,None,C,SVR,SVR,SVR,LowEvrywhere,Steep,Dry,CloseToDryAd,OtherRapid,Other,DryLine,NegToPos,QStationary,NWQuad,LVorOther,LongAnticyc
2743,Neutral,WeakUp,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Wet,PC,Clear,PC,PC,Weak,Strong,Other,None,Weak,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul2_Jul15,D,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,Average,LessUnstable,D,None,Strong,Strong,D,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Dry,Steep,OtherRapid,Other,DryLine,SigNegative,None,SWQuad,Westerly,DenvCyclone
2744,Down,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Dry,Dry,Cloudy,Clear,Cloudy,PC,None,None,StrongWest,None,Strong,Weak,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,LILt_8,Stability,LessUnstable,LessUnstable,GJ,Stifling,Moderate,None,J,SIG,SIG,SIG,LowSHighN,ModerateOrLe,Average,CloseToDryAd,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,DenvCyclone
2745,StrongUp,Down,Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,PC,Clear,PC,Strong,Strong,Other,Weak,None,None,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,K,CThruK,PartInhibit,LessThanAve,LessThanAve,K,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Weak,None,K,XNIL,XNIL,SIG,LowSHighN,Steep,Average,Steep,StrongFront,DryMMoistL,None,SigPositive,QStationary,AllElse,LVorOther,WidespdDnsl
2746,StrongUp,Down,Down,Down,Down,Neutral,Neutral,Wet,Neutral,PC,Clear,PC,PC,Strong,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SVR,Jul16_Aug10,G,CThruK,None,LessThanAve,MoreThanAve,G,LIGt0,Stability,LessUnstable,Average,GJ,Stifling,Unfavorable,None,G,XNIL,XNIL,SVR,LowAtStation,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,None,PosToNeg,None,NWQuad,Westerly,LongAnticyc
2747,StrongUp,WeakUp,Neutral,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Cloudy,Clear,Cloudy,Cloudy,None,None,Other,None,Weak,Strong,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,May15_Jun14,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,Average,Average,B,PartInhibit,Moderate,Strong,B,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,Other,DenvCyclone,LittleChange,QStationary,SWQuad,Westerly,SEQuad
2748,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Neutral,Wet,Wet,Clear,PC,PC,PC,Weak,Strong,Westerly,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Jun15_Jul1,G,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,G,N5GtLIGt_8,Neutral,MoreUnstable,Average,GJ,PartInhibit,Weak,None,G,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,DenvCyclone,SigPositive,None,NWQuad,LVorOther,LongAnticyc
2749,WeakUp,Neutral,Down,Neutral,Neutral,Dry,Dry,Dry,Dry,Clear,PC,Clear,Clear,Weak,Strong,DCVZFavor,Weak,None,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,Jul16_Aug10,F,CThruK,Stifling,MoreThanAve,MoreThanAve,F,N5GtLIGt_8,Stability,MoreUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Moderate,F,XNIL,SIG,SVR,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,None,NegToPos,None,LV,LVorOther,SEQuad
2750,StrongUp,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,Clear,Cloudy,Clear,Clear,Weak,Strong,Westerly,Strong,None,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,LIGt0,Stability,LessUnstable,Average,HI,None,Strong,Strong,I,SVR,SVR,SVR,LowSHighN,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,NegToPos,QStationary,SWQuad,LVorOther,LV
2751,StrongUp,Down,Neutral,StrongUp,StrongUp,Neutral,Neutral,Wet,VeryWet,PC,PC,PC,Cloudy,Strong,Strong,Other,Weak,None,Weak,None,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jun15_Jul1,B,AB,None,LessThanAve,Average,ABI,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,B,None,Moderate,Moderate,B,SIG,SIG,SIG,HighEvrywher,Steep,VeryMoist,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,Other,LV,Westerly,DenvCyclone
2752,Down,Neutral,Neutral,Down,Down,Dry,VeryWet,Wet,Wet,PC,PC,PC,PC,Strong,Strong,StrongWest,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,Aug20_Sep15,I,CThruK,TotalInhibit,MoreThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,Average,HI,Stifling,Unfavorable,None,I,XNIL,XNIL,SIG,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,StrongFront,DryMMoistL,E_W_S,LittleChange,QStationary,LV,LVorOther,DenvCyclone
2753,WeakUp,Neutral,Down,Neutral,Neutral,Wet,Wet,Wet,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Weak,None,None,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jun15_Jul1,D,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,Average,D,None,Moderate,Moderate,D,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,DryLine,LittleChange,Other,SWQuad,LVorOther,SEQuad
2754,Neutral,Neutral,StrongUp,WeakUp,WeakUp,Dry,Neutral,VeryWet,Wet,Clear,PC,Clear,Clear,Weak,Weak,StrongWest,Strong,None,Weak,Some,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Jul2_Jul15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,MoreUnstable,B,None,Unfavorable,None,B,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,Other,DenvCyclone,SigPositive,Moving,SWQuad,LVorOther,DenvCyclone
2755,StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,Wet,Neutral,Neutral,Clear,PC,PC,Cloudy,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Jul2_Jul15,J,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,GJ,None,Moderate,Moderate,J,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,Dry,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,QStationary,LV,LVorOther,SEQuad
